student_number,Quiz1
1263196,30
1276458,36
1277869,32
1289680,28
1292566,24
1307600,30
1310395,27
1319746,36
1332161,24
1347863,34
1348271,34
1349163,29
1349244,40
1349723,35
1352246,40
1358658,30
1358830,36
1359403,37
1359947,45
1363818,38
1364410,27
1367170,30
1368615,32
1368699,26
1369754,21
1370446,31
1371406,29
1372177,40
1372505,41
1373576,33
1375961,36
1381668,41
1395660,33
1395670,40
1396193,32
1396789,33
1397094,24
1397119,31
1397978,26
1397999,30
1398176,26
1398350,38
1398522,38
1398615,33
1398690,33
1399370,25
1399542,31
1400812,24
1400976,34
1401489,39
1401624,28
1402442,31
1402763,35
1402999,32
1403131,33
1403839,41
1403975,35
1404368,33
1404445,29
1404979,29
1405349,42
1405688,32
1405894,30
1406017,32
1406227,33
1406499,33
1407230,40
1408525,33
1408631,35
1409277,28
1409975,31
1410533,33
1411333,39
1411346,36
1412294,32
1412590,29
1412640,31
1413008,40
1413140,26
1413474,30
1414397,24
1415633,29
1415657,29
1416490,30
1417357,34
1418041,44
1418098,29
1418490,26
1418633,33
1419022,20
1419219,28
1419348,35
1419891,36
1420975,36
1421292,29
1421417,30
1422059,34
1422754,36
1423480,35
1423690,28
1424354,26
1424692,33
1424718,32
1424897,31
1424943,33
1425206,29
1425226,29
1425444,34
1425754,34
1425793,36
1427012,39
1427304,23
1427361,29
1428501,35
1429084,37
1429714,30
1430058,30
1430084,36
1430102,33
1431754,29
1432010,33
1432813,33
1432935,23
1433794,23
1434100,25
1440318,24
1441299,36
1442099,42
1451021,31
1451049,37
1453631,39
1453700,42
1454148,30
1454168,30
1455023,27
1459767,35
1460200,26
1460466,40
1460512,32
1460516,40
1462318,26
1462393,37
1463077,39
1463340,39
1464449,23
1466298,46
1466697,21
1468126,25
1468561,31
1468838,42
1469818,33
1470132,39
1470441,26
1471004,43
1471143,32
1473937,39
1474329,32
1474540,36
1475246,40
1475991,22
1476973,32
1477219,30
1478057,21
1478709,26
1480094,39
1480462,26
1481205,27
1481582,36
1481671,38
1484996,34
1485579,39
1485612,32
1486385,28
1487532,37
1488075,33
1488950,26
1489400,35
1490111,30
1493233,35
1493445,29
1494391,40
1495636,30
1495695,35
1495963,33
1496053,43
1496672,28
1496859,27
1497295,41
1497941,21
1498625,28
1499082,41
1499196,32
1499449,40
1499474,34
1500158,29
1506065,35
